Sensor ID,Sensor Name,Sensor Description,Status,Upload Date,Year Installed,Location Type,Geometry,Latitude,Longitude
1,Bou292_T,Bourke Street Mall (North),Installed,27/05/2015 08:54:11 AM +0000,2009,Outdoor,(-37.8134944036338_ 144.965153237914),-37.8134944,144.9651532
2,Bou283_T,Bourke Street Mall (South),Installed,27/05/2015 08:54:11 AM +0000,2009,Outdoor,(-37.8138066724228_ 144.965167185971),-37.81380667,144.9651672
3,Swa295_T,Melbourne Central,Installed,27/05/2015 08:54:11 AM +0000,2009,Outdoor,(-37.8110530422788_ 144.964248046779),-37.81105304,144.964248
4,Swa123_T,Town Hall (West),Installed,27/05/2015 08:54:11 AM +0000,2009,Outdoor,(-37.8148798759503_ 144.966087801437),-37.81487988,144.9660878
5,PriNW_T,Princes Bridge,Installed,27/05/2015 08:54:11 AM +0000,2009,Outdoor,(-37.8187424894411_ 144.967876562712),-37.81874249,144.9678766
6,FliS_T,Flinders Street Station Underpass,Installed,27/05/2015 08:54:11 AM +0000,2009,Outdoor,(-37.8191170445268_ 144.965582558609),-37.81911704,144.9655826
7,Fed_T,Birrarung Marr,Installed,27/05/2015 08:54:11 AM +0000,2009,Outdoor,(-37.8183237506589_ 144.971414820121),-37.81832375,144.9714148
8,WebBN_T,Webb Bridge,Installed,27/05/2015 08:54:11 AM +0000,2009,Outdoor,(-37.8229354263742_ 144.947175106953),-37.82293543,144.9471751
9,Col700_T,Southern Cross Station,Installed,27/05/2015 08:54:11 AM +0000,2009,Outdoor,(-37.8198825259225_ 144.951082845706),-37.81988253,144.9510828
10,BouHbr_T,Victoria Point,Installed,27/05/2015 08:54:11 AM +0000,2009,Outdoor,(-37.8187647327542_ 144.947105451213),-37.81876473,144.9471055
11,WatCit_T,Waterfront City,Installed,27/05/2015 08:54:11 AM +0000,2009,Outdoor,(-37.8154565643471_ 144.939579299407),-37.81545656,144.9395793
12,NewQ_T,New Quay,Installed,27/05/2015 08:54:11 AM +0000,2009,Outdoor,(-37.8145798719868_ 144.942923981029),-37.81457987,144.942924
13,Wil277_T,Flagstaff Station,Installed,27/05/2015 08:54:11 AM +0000,2009,Outdoor,(-37.8123434709568_ 144.956647742336),-37.81234347,144.9566477
14,SanBri_T,Sandridge Bridge,Installed,27/05/2015 08:54:11 AM +0000,2009,Outdoor,(-37.8201124166947_ 144.96291897546),-37.82011242,144.962919
15,QV_T,State Library,Installed,27/05/2015 08:54:11 AM +0000,2009,Outdoor,(-37.8106437830727_ 144.964471322694),-37.81064378,144.9644713
16,Col270_T,Australia on Collins,Installed,27/05/2015 08:54:11 AM +0000,2009,Outdoor,(-37.8157342252752_ 144.965210438559),-37.81573423,144.9652104
17,Col15_T,Collins Place (South),Installed,27/05/2015 08:54:11 AM +0000,2009,Outdoor,(-37.8136254240211_ 144.973235916778),-37.81362542,144.9732359
18,Col12_T,Collins Place (North),Installed,27/05/2015 08:54:06 AM +0000,2009,Outdoor,(-37.8134486106919_ 144.973053538633),-37.81344861,144.9730535
19,LtB210_T,Chinatown-Swanston St (North),Installed,27/05/2015 08:54:11 AM +0000,2013,Outdoor,(-37.8123720170999_ 144.965506710649),-37.81237202,144.9655067
20,LtB170_T,Chinatown-Russel St (South),Installed,27/05/2015 08:54:11 AM +0000,2013,Outdoor,(-37.811729134669_ 144.968246601442),-37.81172913,144.9682466
21,Rus180_T,Bourke St-Russel St (West),Installed,27/05/2015 08:54:11 AM +0000,2013,Outdoor,(-37.8124803013205_ 144.967730746932),-37.8124803,144.9677307
22,Eli274_T,Flinders St-Elizabeth St (East),Installed,27/05/2015 08:54:11 AM +0000,2013,Outdoor,(-37.8178644478193_ 144.965068228214),-37.81786445,144.9650682
23,Col623_T,Spencer St-Collins St (South),Installed,27/05/2015 08:54:11 AM +0000,2013,Outdoor,(-37.8190925593958_ 144.954527490176),-37.81909256,144.9545275
24,Col620_T,Spencer St-Collins St (North),Installed,27/05/2015 08:54:11 AM +0000,2013,Outdoor,(-37.8188796214196_ 144.95449198131),-37.81887962,144.954492
25,MCEC_T,Melbourne Convention Exhibition Centre,Installed,27/05/2015 08:54:11 AM +0000,2013,Outdoor,(-37.8240318840833_ 144.955931412038),-37.82403188,144.9559314
26,Eli483_T,QV Market-Elizabeth St (West),Installed,27/05/2015 08:54:11 AM +0000,2013,Outdoor,(-37.8086954214778_ 144.960494038903),-37.80869542,144.960494
27,Vic_T,QV Market-Peel St,Installed,27/05/2015 08:54:11 AM +0000,2013,Outdoor,(-37.8062043823034_ 144.956630585614),-37.80620438,144.9566306
28,VAC_T,The Arts Centre,Installed,27/05/2015 08:54:11 AM +0000,2013,Outdoor,(-37.8212992424763_ 144.968793093492),-37.82129924,144.9687931
29,AG,St. Kilda Rd-Alexandra Gardens,Installed,27/05/2015 08:54:11 AM +0000,2013,Outdoor,(-37.819658083823_ 144.968634533137),-37.81965808,144.9686345
30,Lon189_,Lonsdale St (South),Installed,27/05/2015 08:54:11 AM +0000,2014,Outdoor,(-37.8112184919515_ 144.966568066001),-37.81121849,144.9665681
31,Lyg161_,Lygon St (West),Installed,27/05/2015 08:54:11 AM +0000,2014,Outdoor,(-37.8016968046535_ 144.966589114895),-37.8016968,144.9665891
32,CSq,City Square,Installed,27/05/2015 08:54:11 AM +0000,2014,Outdoor,(-37.8157374166874_ 144.966857177706),-37.81573742,144.9668572
33,Spr13_,Flinders St-Spring St (West),Installed,27/05/2015 08:54:11 AM +0000,2014,Outdoor,(-37.8148325157834_ 144.974540556573),-37.81483252,144.9745406
34,Fli32,Flinders St-Spark La,Installed,27/05/2015 08:54:11 AM +0000,2014,Outdoor,(-37.8153798501116_ 144.974150495806),-37.81537985,144.9741505
35,SouthB,Southbank,Test,27/05/2015 08:54:11 AM +0000,2014,Indoor,(-37.8202262044322_ 144.965076422932),-37.8202262,144.9650764
36,Que85,Queen St (West),Installed,27/05/2015 08:54:11 AM +0000,2015,Outdoor,(-37.8164707984673_ 144.961276928328),-37.8164708,144.9612769
37,Lyg260,Lygon St (East),Installed,27/05/2015 08:54:11 AM +0000,2015,Outdoor,(-37.8013453319892_ 144.967123315373),-37.80134533,144.9671233
38,Swa11,Flinders St-Swanston St (West),Installed,27/05/2015 08:54:11 AM +0000,2015,Outdoor,(-37.8170916806555_ 144.96714779185),-37.81709168,144.9671478
39,AlfredP_T,Alfred Place,Installed,27/05/2015 08:54:11 AM +0000,2015,Outdoor,(-37.8138475498556_ 144.970330591529),-37.81384755,144.9703306
40,Spr201,Lonsdale St-Spring St (West),Installed,27/05/2015 08:54:11 AM +0000,2015,Outdoor,(-37.8099934057793_ 144.972275879457),-37.80999341,144.9722759
41,FGIC,Fitzroy Gardens Visitor Centre,Installed,27/05/2015 08:54:11 AM +0000,2015,Indoor,(-37.8136318474239_ 144.9810842168),-37.81363185,144.9810842
42,UM1,Grattan St-Swanston St (West),Installed,27/05/2015 08:54:11 AM +0000,2015,Outdoor,(-37.8000856548236_ 144.963864121768),-37.80008565,144.9638641
43,UM2,Monash Rd-Swanston St (West),Installed,27/05/2015 08:54:11 AM +0000,2015,Outdoor,(-37.7984452524968_ 144.964117822271),-37.79844525,144.9641178
44,UM3,Tin Alley-Swanston St (West),Installed,27/05/2015 08:54:11 AM +0000,2015,Outdoor,(-37.7968227197363_ 144.964353917115),-37.79682272,144.9643539
